State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
AK,Juneau City and Borough,"31,276","31,974",340,177,20,-247,-227,10.6,5.5,"1,359","4,370","7,003","7,167",6.8,22.0,35.2,36.0,818,"4,875","8,202","8,666",3.6,21.6,36.4,38.4,"1,951",6.3,524,8.0,338,"85,419",16263,15711,1558,1544,12565,11969,461,343,3072,3142,1587,1711,338,284,1168,1068
AK,Kenai Peninsula Borough,"55,400","58,708",665,541,20,6,26,11.3,9.2,"3,605","9,990","11,431","6,362",11.5,31.8,36.4,20.3,"2,977","12,702","14,977","9,995",7.3,31.2,36.8,24.6,"5,966",10.4,"1,608",12.5,"1,100","68,625",30623,28085,1753,1623,27217,24799,477,341,3805,3491,805,1013,196,181,1307,1199
AK,Ketchikan Gateway Borough,"13,526","13,901",153,88,24,-42,-18,11.0,6.3,932,"2,673","3,580","1,814",10.4,29.7,39.8,20.2,697,"2,864","3,644","2,437",7.2,29.7,37.8,25.3,"1,283",9.4,349,12.0,217,"75,706",7108,6793,643,623,5457,5054,152,116,1461,1471,650,761,65,54,428,347
AK,Kodiak Island Borough,"13,606","12,998",168,53,33,-400,-367,12.8,4.0,"1,194","2,564","2,894","1,535",14.6,31.3,35.3,18.7,912,"2,653","2,868","2,501",10.2,29.7,32.1,28.0,909,7.1,274,8.7,177,"79,669",6898,6100,511,493,4407,3631,164,110,1210,1214,1547,1605,120,93,619,504
AK,Kusilvak Census Area,"7,459","8,314",233,103,7,-146,-139,28.0,12.4,"1,038","1,269",496,279,33.7,41.2,16.1,9.1,847,"2,246",760,157,21.1,56.0,19.0,3.9,"2,217",26.8,"1,206",35.5,839,"35,369",4378,3936,112,90,265,230,84,23,4106,3741,33,29,6,5,154,95
AK,Lake and Peninsula Borough,"1,635","1,592",31,10,3,-28,-25,19.4,6.3,273,385,201,122,27.8,39.2,20.5,12.4,110,406,254,148,12.0,44.2,27.7,16.1,275,17.4,113,25.3,77,"51,693",813,779,74,85,287,237,17,22,554,562,26,42,5,2,33,22
AK,Matanuska-Susitna Borough,"88,985","108,317","1,368",646,16,466,482,12.7,6.0,"4,233","11,191","13,773","6,524",11.9,31.3,38.6,18.3,"4,808","22,553","26,100","14,725",7.1,33.1,38.3,21.6,"10,142",9.6,"3,563",12.8,"2,022","75,856",56208,52109,3849,3783,50313,46229,1468,1222,6559,6313,1648,2049,519,531,2841,2772
AK,Nome Census Area,"9,492","10,004",197,101,2,-147,-145,19.6,10.1,"1,239","1,871","1,082",724,25.2,38.1,22.0,14.7,852,"2,270","1,507",891,15.4,41.1,27.3,16.1,"2,033",20.7,883,26.1,599,"58,464",5267,4737,340,312,1173,998,66,67,4231,3875,122,97,25,22,139,149
AK,North Slope Borough,"9,430","9,832",151,57,1,-114,-113,15.3,5.8,877,"1,361",985,660,22.6,35.1,25.4,17.0,668,"2,795","1,967","1,075",10.3,43.0,30.2,16.5,"1,109",11.4,395,15.3,260,"84,784",6131,3701,288,229,2814,822,160,90,2966,2655,379,285,132,105,277,149
AK,Northwest Arctic Borough,"7,523","7,621",167,90,7,-156,-149,21.8,11.8,978,"1,414",662,444,28.0,40.4,18.9,12.7,735,"1,964",953,557,17.5,46.7,22.6,13.2,"1,805",24.0,806,29.8,548,"61,660",4099,3522,240,196,759,523,96,87,3401,3036,69,70,22,12,157,124
AK,Prince of Wales-Hyder Census Area,"6,168","6,203",59,53,2,-166,-164,9.4,8.4,605,"1,561","1,093",538,15.9,41.1,28.8,14.2,,,,,,,,,"1,085",17.6,315,23.3,225,"50,049",3406,2797,288,246,1887,1463,59,42,1651,1418,89,103,30,32,135,106
AK,Sitka City and Borough,"8,881","8,493",77,58,16,-96,-80,9.0,6.8,527,"1,417","2,007","1,657",9.4,25.3,35.8,29.5,325,"1,683","2,087","2,051",5.3,27.4,34.0,33.4,672,8.1,159,9.3,103,"80,660",4329,4164,409,393,3216,3072,101,81,997,947,413,431,53,49,341,288
AK,Skagway Municipality,968,"1,183",8,14,0,20,20,6.8,11.9,355,693,734,491,15.6,30.5,32.3,21.6,,,,,,,,,47,4.0,13,7.3,9,"74,898",620,563,31,25,564,503,7,10,54,48,24,27,2,3,44,35
AK,Southeast Fairbanks Census Area,"7,029","6,893",109,35,12,-129,-117,15.8,5.1,487,"1,296","1,237",673,13.2,35.1,33.5,18.2,458,"1,546","1,624",890,10.1,34.2,35.9,19.7,823,12.0,267,15.8,180,"69,646",3793,3100,202,170,3140,2525,126,83,601,502,108,132,31,32,245,237
AK,Valdez-Cordova Census Area,"9,636","9,202",118,58,-6,-13,-19,12.9,6.3,738,"1,928","2,408","1,367",11.5,29.9,37.4,21.2,300,"1,997","2,185","1,998",4.6,30.8,33.7,30.8,781,8.6,212,10.1,138,"74,574",4879,4323,342,290,3877,3344,84,83,930,890,296,269,47,38,252,266
AK,Wrangell City and Borough,"2,365","2,502",21,34,5,-30,-25,8.3,13.5,618,"1,589","1,442",710,14.2,36.5,33.1,16.3,,,,,,,,,240,9.7,53,11.0,36,"62,496",1301,1201,131,138,1030,934,31,26,315,309,59,66,2,11,42,34
AK,Yakutat City and Borough,662,579,4,1,1,-22,-21,6.8,1.7,82,174,174,92,15.7,33.3,33.3,17.6,39,148,155,100,8.8,33.5,35.1,22.6,85,14.7,27,26.7,20,"61,587",321,258,48,38,165,110,20,8,145,153,33,22,6,7,16,11
AK,Yukon-Koyukuk Census Area,"5,588","5,230",76,69,2,-139,-137,14.4,13.0,952,"1,459",768,528,25.7,39.4,20.7,14.2,483,"1,383","1,108",468,14.0,40.2,32.2,13.6,"1,266",24.4,441,30.8,292,"42,063",2760,2470,168,147,829,693,50,44,2007,1834,28,38,15,11,87,77
AZ,Arizona,"6,392,288","7,278,717","81,942","60,523","7,782","91,017","98,799",11.4,8.4,"619,547","791,904","1,078,521","766,212",19.0,24.3,33.1,23.5,"608,637","1,129,129","1,600,240","1,394,526",12.9,23.9,33.8,29.5,"963,007",13.5,"309,844",19.2,"214,561","62,027",,,,,,,,,,,,,,,,
AZ,Apache County,"71,517","71,887",934,702,37,-112,-75,13.0,9.8,"13,166","9,008","9,933","4,110",36.4,24.9,27.4,11.3,"8,809","14,491","16,120","5,529",19.6,32.2,35.9,12.3,"23,680",33.4,"8,572",44.7,"6,848","35,386",35482,36405,639,535,8753,8228,463,394,26582,28040,276,247,75,53,2509,2227
AZ,Cochise County,"131,359","125,922","1,348","1,312",66,-595,-529,10.7,10.4,"15,563","18,670","27,294","14,247",20.5,24.6,36.0,18.8,"11,057","21,124","35,205","20,253",12.6,24.1,40.2,23.1,"20,172",16.6,"6,965",26.2,"4,763","48,650",63757,62165,2079,2122,57686,56493,4042,3131,1940,1824,1906,2582,510,482,22490,22498
AZ,Coconino County,"134,426","143,476","1,513",901,25,313,338,10.6,6.3,"10,704","14,279","21,235","19,758",16.2,21.6,32.2,29.9,"7,876","18,310","26,852","30,042",9.5,22.0,32.3,36.2,"20,817",15.9,"4,362",15.4,"3,033","58,301",70721,72755,2173,2205,48971,49298,1742,1623,20017,21500,2077,2357,328,395,10374,10168
AZ,Gila County,"53,592","54,018",514,811,9,504,513,9.5,15.0,"7,654","10,087","12,539","4,870",21.8,28.7,35.7,13.9,"5,378","10,955","15,629","7,368",13.7,27.9,39.7,18.7,"11,219",21.1,"3,342",32.2,"2,346","45,980",26789,27229,497,448,21445,21695,357,286,5131,5285,302,351,67,68,5184,5032
AZ,Graham County,"37,212","38,837",526,323,30,607,637,13.7,8.4,"4,714","5,811","6,493","2,284",24.4,30.1,33.6,11.8,"3,495","6,809","9,810","3,592",14.7,28.7,41.4,15.2,"7,207",20.1,"2,558",25.2,"1,783","50,685",20809,18028,393,376,17405,14968,692,326,2780,2829,245,218,91,77,7288,5591
AZ,Greenlee County,"8,444","9,498",144,49,8,-52,-44,15.2,5.2,912,"1,828","1,832",635,17.5,35.1,35.2,12.2,699,"2,032","2,332",791,11.9,34.7,39.8,13.5,876,9.3,277,11.1,184,"68,066",4916,4582,136,119,4561,4228,153,135,275,260,50,64,14,14,2325,2201
AZ,La Paz County,"20,489","21,108",191,310,68,123,191,9.1,14.7,"4,421","4,880","3,838","1,250",30.7,33.9,26.7,8.7,"3,702","5,000","5,423","1,928",23.1,31.1,33.8,12.0,"4,593",22.1,"1,117",32.6,795,"39,407",10820,10288,302,325,8711,8055,222,198,2027,2179,124,143,40,39,3087,2895
AZ,Maricopa County,"3,817,365","4,485,414","52,722","33,023","5,520","57,477","62,997",11.9,7.4,"338,591","446,445","649,040","500,881",17.5,23.1,33.5,25.9,"353,350","644,671","939,477","941,317",12.3,22.4,32.6,32.7,"539,670",12.2,"180,511",17.5,"123,915","68,634",2217230,2268184,67861,69668,1900443,1937681,172684,172849,80979,85166,124998,136501,11959,12036,705642,703213
AZ,Mohave County,"200,182","212,181","1,752","3,375",-246,"4,724","4,478",8.3,16.0,"24,596","38,127","35,769","10,855",22.5,34.9,32.7,9.9,"22,068","55,982","59,836","20,505",13.9,35.3,37.8,12.9,"33,183",16.0,"9,711",28.2,"6,915","49,712",107347,104834,2581,2649,100838,98528,2419,1660,4540,4634,1766,2287,466,500,18903,17016
AZ,Navajo County,"107,488","110,924","1,447","1,117",44,311,355,13.1,10.1,"15,627","15,036","16,891","6,661",28.8,27.7,31.2,12.3,"11,720","21,383","26,664","10,758",16.6,30.3,37.8,15.3,"27,440",25.2,"10,046",35.0,"7,036","40,676",55469,55455,1229,1162,29656,28277,1100,758,25270,26889,488,586,205,138,6995,5747
AZ,Pima County,"980,263","1,047,279","10,891","10,199","1,204","8,801","10,005",10.5,9.8,"90,483","127,343","182,266","146,108",16.6,23.3,33.4,26.7,"79,892","153,022","232,157","222,733",11.6,22.2,33.8,32.4,"142,859",14.0,"40,084",19.0,"27,102","56,150",515596,531683,15830,15922,450248,466653,29616,26122,28363,29319,22290,24556,2251,2285,193953,201493
AZ,Pinal County,"375,764","462,789","4,568","3,330",487,"14,180","14,667",10.0,7.3,"32,513","36,255","36,157","14,177",27.3,30.4,30.4,11.9,"42,607","87,608","110,668","58,470",14.2,29.3,37.0,19.5,"52,975",12.1,"17,042",17.0,"12,146","62,067",240960,221829,7078,6873,203916,191024,16416,14090,20089,16679,6297,6566,2073,1091,76954,65322
AZ,Santa Cruz County,"47,420","46,498",619,316,56,-257,-201,13.3,6.8,"8,830","5,124","5,089","3,402",39.3,22.8,22.7,15.2,"6,857","8,398","8,060","5,987",23.4,28.7,27.5,20.4,"8,688",18.8,"3,398",27.8,"2,363","47,779",22415,24083,209,327,21620,23277,305,318,457,532,204,258,51,48,18496,20215
AZ,Yavapai County,"211,017","235,099","1,782","3,042",-72,"4,636","4,564",7.6,13.0,"18,376","33,877","42,565","25,405",15.3,28.2,35.4,21.1,"15,683","45,277","68,914","45,341",9.0,25.8,39.3,25.9,"27,845",12.0,"6,132",16.7,"4,474","54,242",114880,120219,2598,2740,109537,114698,1824,1537,3918,4119,1971,2418,413,404,17794,16847
AZ,Yuma County,"195,750","213,787","2,991","1,713",546,357,903,14.1,8.1,"33,397","25,134","27,580","11,569",34.2,25.7,28.2,11.8,"35,444","34,067","43,093","19,912",26.7,25.7,32.5,15.0,"41,782",20.4,"15,728",29.7,"10,858","47,024",110106,103681,2257,2150,101840,97147,4315,2726,3591,3208,2373,2572,542,480,69995,68136
AR,Arkansas,"2,916,031","3,017,804","36,640","31,322",268,"2,515","2,783",12.2,10.4,"427,449","590,416","424,907","288,428",24.7,34.1,24.5,16.7,"270,168","684,659","593,576","463,236",13.4,34.0,29.5,23.0,"468,575",16.0,"148,843",21.7,"99,539","49,020",,,,,,,,,,,,,,,,
AR,Arkansas County,"19,007","17,486",206,216,-3,-229,-232,11.7,12.3,"3,831","5,527","2,838","1,692",27.6,39.8,20.4,12.2,"1,999","4,832","3,633","1,959",16.1,38.9,29.2,15.8,"2,714",15.8,945,24.1,639,"52,539",8437,9049,153,186,6320,6543,2102,2490,78,108,86,93,9,9,335,267
AR,Ashley County,"21,845","19,657",213,251,-4,-313,-317,10.7,12.7,"4,325","6,798","3,017","1,582",27.5,43.2,19.2,10.1,"2,307","6,027","3,765","1,703",16.7,43.7,27.3,12.3,"3,603",18.5,"1,069",24.8,762,"47,744",9580,10077,130,129,7219,7344,2279,2686,158,126,39,42,19,10,625,494
AR,Baxter County,"41,511","41,932",349,695,-1,656,655,8.4,16.6,"6,482","10,832","7,859","3,688",22.5,37.5,27.2,12.8,"3,581","11,536","10,976","5,682",11.3,36.3,34.5,17.9,"5,248",12.7,"1,317",18.1,915,"41,950",20346,21586,339,352,19963,21169,186,146,396,415,126,190,25,28,555,547
AR,Benton County,"221,348","279,141","3,744","1,820",107,"4,823","4,930",13.6,6.6,"19,465","32,644","27,117","20,210",19.6,32.8,27.3,20.3,"19,857","50,742","45,308","58,000",11.4,29.2,26.1,33.4,"24,525",8.9,"8,687",12.2,"5,689","70,775",138868,140273,3697,3829,125709,128529,3936,3633,4649,4765,7316,6304,1227,1169,24376,23254
AR,Boone County,"36,920","37,432",407,460,-11,114,103,10.9,12.3,"5,344","8,075","6,727","2,924",23.2,35.0,29.2,12.7,"3,271","8,675","9,844","4,193",12.6,33.4,37.9,16.1,"5,572",15.1,"1,575",18.8,990,"50,083",18447,18985,394,349,18030,18597,199,141,448,417,144,164,35,24,480,508
AR,Bradley County,"11,505","10,763",116,130,-5,-56,-61,10.7,12.0,"2,794","3,082","1,494",998,33.4,36.8,17.9,11.9,"1,426","3,105","1,911","1,078",19.0,41.3,25.4,14.3,"2,426",22.9,800,31.3,567,"39,982",5271,5492,94,96,3792,3786,1419,1625,125,131,33,41,5,10,954,762
AR,Calhoun County,"5,368","5,189",39,48,-1,-28,-29,7.5,9.2,"1,221","1,701",699,285,31.3,43.5,17.9,7.3,586,"1,661","1,046",424,15.8,44.7,28.1,11.4,771,15.4,196,20.2,138,"48,415",2622,2567,54,62,2043,1982,579,581,45,50,13,14,3,5,121,93
AR,Carroll County,"27,449","28,380",301,305,25,265,290,10.7,10.8,"4,857","5,855","4,115","2,380",28.2,34.0,23.9,13.8,"2,724","7,134","5,781","4,213",13.7,35.9,29.1,21.2,"4,118",14.7,"1,143",19.2,809,"43,841",14141,14239,327,312,13324,13423,217,184,406,430,317,331,223,194,2244,2062
AR,Chicot County,"11,800","10,118",111,150,-2,-283,-285,10.8,14.6,"3,242","3,196","1,566","1,058",35.8,35.3,17.3,11.7,"1,431","2,833","1,995","1,182",19.2,38.1,26.8,15.9,"2,900",31.0,984,45.1,722,"37,014",5097,5021,61,55,2286,2168,2766,2820,57,42,49,42,1,6,336,264
AR,Clark County,"22,991","22,320",233,241,2,14,16,10.4,10.8,"3,396","4,447","3,170","2,722",24.7,32.4,23.1,19.8,"1,323","3,976","4,364","3,508",10.0,30.2,33.1,26.6,"3,971",20.6,960,23.1,641,"44,105",10598,11722,165,199,7929,8568,2613,3086,120,145,95,117,10,12,526,549
AR,Clay County,"16,083","14,551",155,197,0,-170,-170,10.6,13.4,"4,796","4,603","1,876",900,39.4,37.8,15.4,7.4,"1,845","4,410","2,947","1,323",17.5,41.9,28.0,12.6,"2,691",18.7,769,25.5,512,"40,686",7102,7449,85,127,6956,7335,107,97,87,113,38,29,4,6,178,142
AR,Cleburne County,"25,964","24,919",227,385,-6,90,84,9.1,15.4,"4,362","6,290","4,245","2,402",25.2,36.4,24.5,13.9,"2,627","8,007","5,153","2,906",14.1,42.8,27.6,15.5,"3,452",14.1,"1,011",21.9,700,"46,214",12241,12678,225,204,12034,12427,128,103,242,235,60,115,11,12,278,333
AR,Cleveland County,"8,692","7,956",75,88,-1,-25,-26,9.4,11.0,"1,524","2,454","1,116",565,26.9,43.4,19.7,10.0,594,"2,653","1,526",926,10.4,46.6,26.8,16.2,"1,080",13.7,337,19.8,234,"53,773",3938,4018,51,65,3474,3496,460,520,39,46,12,16,7,5,115,82
AR,Columbia County,"24,552","23,457",262,279,9,-120,-111,11.1,11.9,"4,161","5,742","3,442","2,694",25.9,35.8,21.5,16.8,"2,071","6,116","3,595","2,879",14.1,41.7,24.5,19.6,"4,509",21.2,"1,245",26.5,878,"42,964",11328,12129,157,157,7286,7418,3940,4609,141,108,116,148,8,23,369,290
AR,Conway County,"21,267","20,846",227,213,-5,14,9,10.9,10.2,"3,617","5,579","2,729","1,555",26.8,41.4,20.2,11.5,"1,876","6,352","3,995","2,263",13.0,43.8,27.6,15.6,"3,215",15.6,"1,037",22.7,727,"46,924",10260,10586,259,254,8909,9245,1301,1337,221,180,83,74,13,9,432,404
AR,Craighead County,"96,443","110,332","1,456","1,030",47,"1,044","1,091",13.3,9.4,"11,515","16,615","11,971","10,624",22.7,32.8,23.6,20.9,"7,362","23,849","19,662","18,091",10.7,34.6,28.5,26.2,"17,960",16.9,"6,773",25.0,"4,229","47,766",53554,56778,1029,1051,43803,45837,9248,10482,569,657,947,813,64,88,3032,2761
AR,Crawford County,"61,935","63,257",758,658,5,-227,-222,12.0,10.4,"9,628","12,153","8,708","3,276",28.5,36.0,25.8,9.7,"6,347","15,753","13,409","6,747",15.0,37.3,31.7,16.0,"11,436",18.3,"4,238",28.1,"2,614","44,600",31224,32033,1020,1088,29373,30046,845,848,1390,1516,627,683,45,45,2594,2537
AR,Crittenden County,"50,907","47,955",722,534,-7,-591,-598,15.0,11.1,"9,326","10,024","7,038","3,863",30.8,33.1,23.3,12.8,"5,385","10,768","9,414","5,400",17.4,34.8,30.4,17.4,"10,520",22.4,"4,115",32.1,"2,693","41,976",22784,25171,317,344,10464,10743,12247,14293,183,223,195,240,32,41,696,635
AR,Cross County,"17,878","16,419",194,207,2,-202,-200,11.7,12.5,"3,930","4,738","2,519","1,225",31.7,38.2,20.3,9.9,"1,883","4,778","3,191","1,661",16.4,41.5,27.7,14.4,"2,874",17.8,977,26.3,706,"45,273",7977,8442,123,135,6049,6341,1883,2069,79,92,88,74,9,10,187,141
AR,Dallas County,"8,124","7,009",73,79,-2,-133,-135,10.3,11.2,"1,986","2,464",963,576,33.2,41.1,16.1,9.6,826,"2,267","1,442",610,16.1,44.1,28.0,11.9,"1,241",18.8,412,31.7,281,"41,314",3466,3543,65,72,2070,2020,1397,1521,42,52,19,19,7,3,166,105
AR,Desha County,"13,002","11,361",135,172,-1,-108,-109,11.8,15.0,"3,351","3,443","1,720","1,060",35.0,36.0,18.0,11.1,"1,482","3,491","1,753","1,100",18.9,44.6,22.4,14.1,"2,859",25.4,"1,094",38.6,731,"37,005",5359,6002,73,90,2789,2975,2529,2998,47,67,61,43,11,12,372,359
AR,Drew County,"18,517","18,219",228,198,-5,-134,-139,12.5,10.8,"3,113","3,966","2,480","1,994",26.9,34.3,21.5,17.3,"1,526","4,115","3,364","2,656",13.1,35.3,28.8,22.8,"3,191",18.5,944,25.0,631,"44,162",8873,9346,138,101,6353,6496,2494,2771,75,101,81,78,13,4,363,321
AR,Faulkner County,"113,238","126,007","1,516",920,41,232,273,12.1,7.3,"8,468","15,914","13,647","12,820",16.7,31.3,26.8,25.2,"6,196","23,112","23,378","23,183",8.2,30.5,30.8,30.6,"17,459",14.4,"4,470",15.9,"2,942","58,482",61487,64520,1310,1455,52929,54873,7844,8814,878,985,1037,1179,176,171,2791,2486
AR,Franklin County,"18,137","17,715",178,190,-1,-34,-35,10.0,10.7,"3,369","4,121","2,879","1,285",28.9,35.4,24.7,11.0,"1,956","4,930","3,672","1,459",16.3,41.0,30.6,12.1,"2,830",16.2,900,23.2,614,"45,670",8837,8878,167,159,8459,8571,179,115,227,236,118,99,29,16,302,272
AR,Fulton County,"12,236","12,477",134,201,5,232,237,10.8,16.2,"2,295","3,216","1,868",864,27.8,39.0,22.7,10.5,"1,275","3,171","3,322","1,083",14.4,35.8,37.5,12.2,"2,169",17.7,684,26.5,462,"32,926",6160,6317,138,124,6033,6196,99,83,132,119,31,44,7,0,106,109
AR,Garland County,"95,999","99,386","1,071","1,347",-27,726,699,10.8,13.6,"13,609","20,538","17,284","11,263",21.7,32.8,27.6,18.0,"7,779","22,462","25,762","15,464",10.9,31.4,36.0,21.6,"16,532",16.9,"4,589",23.9,"2,887","45,786",47783,51603,1302,1243,42717,46147,4897,5038,915,917,554,709,83,71,3019,2881
AR,Grant County,"17,842","18,265",172,188,-6,107,101,9.4,10.3,"2,470","4,576","2,583","1,195",22.8,42.3,23.9,11.0,"1,170","5,570","3,600","2,380",9.2,43.8,28.3,18.7,"2,189",12.1,617,15.6,435,"58,566",9015,9250,151,157,8655,8926,320,282,141,124,48,71,10,10,301,251
AR,Greene County,"42,090","45,325",587,505,-7,-87,-94,12.9,11.1,"6,848","9,940","5,052","2,670",27.9,40.6,20.6,10.9,"3,536","13,792","7,887","4,859",11.8,45.9,26.2,16.2,"6,925",15.5,"2,147",20.0,"1,405","47,098",22336,22989,368,343,21561,22281,599,555,305,283,143,134,110,90,704,639
AR,Hempstead County,"22,587","21,532",291,233,-13,-199,-212,13.5,10.8,"4,584","5,699","2,955","1,631",30.8,38.3,19.9,11.0,"2,491","5,276","4,400","2,162",17.4,36.8,30.7,15.1,"3,930",18.5,"1,434",26.3,"1,010","40,867",10429,11103,270,241,7272,7361,3153,3702,177,165,86,97,33,30,1498,1366
AR,Hot Spring County,"33,011","33,771",361,379,-1,119,118,10.7,11.2,"5,419","8,036","4,538","2,267",26.7,39.7,22.4,11.2,"3,442","9,474","8,150","3,227",14.2,39.0,33.5,13.3,"6,322",20.2,"1,755",26.7,"1,284","45,860",17646,16125,376,330,15276,14233,2331,1817,285,263,124,132,29,38,692,553
AR,Howard County,"13,781","13,202",172,171,-2,-99,-101,13.0,12.9,"2,713","3,510","1,970","1,078",29.3,37.9,21.2,11.6,"1,297","3,371","2,921","1,192",14.8,38.4,33.3,13.6,"2,176",16.8,846,24.9,576,"41,427",6373,6829,114,127,4937,5185,1356,1557,128,155,60,53,13,17,871,867
AR,Independence County,"36,641","37,825",513,430,-7,-17,-24,13.6,11.4,"5,562","9,021","5,004","3,118",24.5,39.7,22.0,13.7,"3,512","9,451","7,753","4,406",14.0,37.6,30.9,17.5,"5,852",15.9,"1,811",20.1,"1,294","47,903",18479,19346,329,346,17613,18506,645,588,294,323,212,241,61,61,1281,1233
AR,Izard County,"13,703","13,629",119,188,2,113,115,8.7,13.8,"2,540","3,477","2,395","1,112",26.7,36.5,25.1,11.7,"1,653","3,876","3,334","1,332",16.2,38.0,32.7,13.1,"2,003",15.9,545,22.7,381,"40,233",7073,6556,101,101,6734,6405,285,81,118,114,39,57,3,6,197,149
AR,Jackson County,"17,998","16,719",187,206,-2,-12,-14,11.2,12.3,"4,144","4,679","2,123","1,258",34.0,38.3,17.4,10.3,"2,421","5,186","3,361","1,239",19.8,42.5,27.5,10.1,"3,313",22.9,"1,069",32.4,744,"38,636",8297,8422,148,176,6704,6848,1540,1533,126,135,51,67,26,23,292,211
AR,Jefferson County,"77,456","66,824",788,827,6,"-1,214","-1,208",11.7,12.3,"13,377","18,500","12,922","8,333",25.2,34.8,24.3,15.7,"6,499","18,240","13,726","8,439",13.9,38.9,29.3,18.0,"14,942",24.4,"4,701",33.1,"3,032","40,555",33005,33819,445,468,13945,13469,18771,20112,318,342,381,338,63,66,860,613
AR,Johnson County,"25,545","26,578",326,252,-4,-150,-154,12.2,9.5,"4,824","5,463","2,657","1,957",32.4,36.7,17.8,13.1,"3,678","7,082","3,982","2,679",21.1,40.7,22.9,15.4,"4,521",17.5,"1,499",23.5,"1,004","40,396",13157,13421,296,269,12274,12614,410,345,352,316,398,400,27,28,1920,1871
AR,Lafayette County,"7,643","6,624",61,94,-1,-20,-21,9.2,14.1,"1,976","2,048","1,125",543,34.7,36.0,19.8,9.5,995,"1,972","1,161",775,20.3,40.2,23.7,15.8,"1,655",25.5,435,37.1,290,"37,164",3238,3386,39,47,2069,2068,1153,1297,31,44,23,27,1,3,110,85
AR,Lawrence County,"17,410","16,406",194,249,-3,32,29,11.8,15.2,"4,345","4,342","2,133","1,004",36.7,36.7,18.0,8.5,"1,782","4,340","3,377","1,730",15.9,38.6,30.1,15.4,"2,887",18.4,955,27.0,688,"39,604",8036,8370,119,102,7842,8195,137,133,137,102,36,37,4,7,142,150
AR,Lee County,"10,428","8,857",81,120,0,-80,-80,9.1,13.5,"3,469","2,346","1,532",577,43.8,29.6,19.3,7.3,"1,632","2,728","1,668",726,24.2,40.4,24.7,10.7,"2,515",35.4,670,42.1,451,"30,421",4983,3874,63,57,2329,1600,2617,2250,66,51,33,30,2,0,135,71
AR,Lincoln County,"14,141","13,024",100,146,1,-113,-112,7.6,11.1,"3,337","3,600","1,867",729,35.0,37.8,19.6,7.6,"1,951","4,878","2,481","1,004",18.9,47.3,24.1,9.7,"2,567",27.1,666,31.8,447,"44,272",7995,5029,98,97,5076,3901,2878,1123,93,74,44,28,6,3,360,182
AR,Little River County,"13,168","12,259",136,176,-3,6,3,11.1,14.3,"2,392","3,438","2,286",893,26.6,38.2,25.4,9.9,960,"3,882","2,762","1,090",11.0,44.7,31.8,12.5,"2,157",17.8,707,26.1,494,"43,257",5904,6355,147,158,4658,4877,1186,1386,170,194,32,54,11,8,229,228
AR,Logan County,"22,361","21,466",235,296,10,-156,-146,10.9,13.7,"4,532","5,763","3,301","1,408",30.2,38.4,22.0,9.4,"2,108","6,902","4,256","2,043",13.8,45.1,27.8,13.3,"3,640",17.4,965,22.2,669,"42,249",10700,10766,191,212,10114,10257,233,226,234,253,306,241,14,9,356,295
